# ----------------------------------------
# www.visit-trzic.com - GA4
# Najbolj obiskane strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Page title,Page path and screen class,Views,Views per active user,Active users,Event count,Key events,Average engagement time per session
2026,05,International mountain race for oldtimers - Hrast Memorial,/en/events/international-mountain-race-for-oldtimers-hrast-memorial,5,1.6666666666666667,3,11,0,39
2026,05,"Internationale Mineralien-, Fossilien- und Umwelttage - MINFOS",/de/veranstaltungen/internationale-mineralien-fossilien-und-umwelttage-minfos,1,1,1,3,0,1
2026,05,Iz Tržiških piskrov,/sl/kulinarika,7,1,7,10,0,7.285714285714286
2026,05,Izletniška kmetija Pr' Hariž,/sl/kulinarika/izletniska-kmetija-pr-hariz,19,2.111111111111111,9,41,0,19.636363636363637
2026,05,Jelendol and the Stegovnik Waterfall,/en/blog/jelendol-and-the-stegovnik-waterfall,4,2,2,9,0,3
2026,05,K11 - Mountain pastures below Košuta,/en/paths/cycling-routes/k11-mountain-pastures-below-kosuta,4,2,2,8,0,4
2026,05,K11 - Planine pod Košuto,/sl/poti/kolesarske-poti/k11-planine-pod-kosuto,10,1.4285714285714286,7,21,0,26.88888888888889
2026,05,K12 - Die Alm Dolga njiva,/de/wege/radtouren/k12-die-alm-dolga-njiva,1,1,1,1,0,0
2026,05,K12 - Planina Dolga njiva,/sl/poti/kolesarske-poti/k12-planina-dolga-njiva,33,2.0625,16,66,0,21.304347826086957
2026,05,K14 - Javornik pasture by way of Medvodje,/en/paths/cycling-routes/k14-javornik-pasture-by-way-of-medvodje,1,1,1,2,0,100
2026,05,K14 - Planina Javornik čez Medvodje,/sl/poti/kolesarske-poti/k14-planina-javornik-cez-medvodje,13,1.4444444444444444,9,26,0,11.454545454545455
2026,05,K15 - Na Konjščico čez planino Vetrh,/sl/poti/kolesarske-poti/k15-na-konjscico-cez-planino-vetrh,16,3.2,5,31,0,31
2026,05,K16 - Tržič - Jezersko,/sl/poti/kolesarske-poti/k16-trzic-jezersko,22,1.6923076923076923,13,48,0,24.333333333333332
2026,05,K17 - Prečenje Košute,/sl/poti/kolesarske-poti/k17-precenje-kosute,20,2,10,42,0,33.166666666666664
2026,05,K21 - Die Berghütte Dom pod Storžičem,/de/wege/radtouren/k21-die-berghutte-dom-pod-storzicem,1,1,1,2,0,160
2026,05,K21 - Dom pod Storžičem,/sl/poti/kolesarske-poti/k21-dom-pod-storzicem,7,1.1666666666666667,6,15,0,33.333333333333336
2026,05,K21 - Schronisko Górskie Storžič,/en/paths/cycling-routes/k21-storzic-mountain-hostel,0,0,1,2,0,177
2026,05,K21 - Storžič Mountain Hostel,/en/paths/cycling-routes/k21-storzic-mountain-hostel,4,2,2,10,0,0
2026,05,K22 - Planina Javornik,/sl/poti/kolesarske-poti/k22-planina-javornik,15,1.875,8,30,0,19.11111111111111
2026,05,K22 – Javornik-Berg,/sl/poti/kolesarske-poti/k22-planina-javornik,0,0,1,1,0,30
2026,05,K25 - Around Kriška Gora,/en/paths/cycling-routes/k25-around-kriska-gora,1,1,1,2,0,278
2026,05,K25 - Okrog Kriške gore,/sl/poti/kolesarske-poti/k25-okrog-kriske-gore,10,1.4285714285714286,7,19,0,17.444444444444443
2026,05,K25 - Rund um Kriška Gora,/sl/poti/kolesarske-poti/k25-okrog-kriske-gore,0,0,1,1,0,31
2026,05,K25 - Um den Berg Kriška gora,/de/wege/radtouren/k25-um-den-berg-kriska-gora,1,1,1,2,0,4
2026,05,K31 - Čez Bistriško planino proti Dobrči,/sl/poti/kolesarske-poti/k31-cez-bistrisko-planino-proti-dobrci,8,1.3333333333333333,6,16,0,22.333333333333332
2026,05,K32 - Around Begunjščica and Dobrča,/en/paths/cycling-routes/k32-around-begunjscica-and-dobrca,2,2,1,7,0,30.5
2026,05,K32 - Okrog Begunjščice in Dobrče,/sl/poti/kolesarske-poti/k32-okrog-begunjscice-in-dobrce,13,1.8571428571428572,7,29,0,24
2026,05,K32 - Um die Berge Begunjščica und Dobrča,/de/wege/radtouren/k32-um-die-berge-begunjscica-und-dobrca,2,2,1,4,0,0
2026,05,K32 – Intorno al Begunjščica e al Dobrča,/it/sentieri/sentieri-per-ciclisti/k32-intorno-al-begunjscica-e-al-dobrca,1,1,1,2,0,0
2026,05,K34 - Gori doli okrog Dobrče,/sl/poti/kolesarske-poti/k34-gori-doli-okrog-dobrce,6,1.5,4,12,0,40.25
2026,05,K34 – Su e giù per il Dobrča,/it/sentieri/sentieri-per-ciclisti/k34-su-e-giu-per-il-dobrca,1,1,1,1,0,0
2026,05,K35 - Der Loiblpass,/de/wege/radtouren/k35-der-loiblpass,6,2,3,12,0,36.25
