# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
2026,07,/en/attractions/cultural-attractions/ljubelj-loibl-pass,17,9,12,12,0.5294117647058824,0,6.647058823529412
2026,07,/sl/poti/kolesarske-poti/k43-dobrca,17,9,10,10,0.5294117647058824,0,29.58823529411765
2026,06,/sl/kulinarika/moji-struklji-deteljica,16,12,14,13,0.75,0,48.1875
2026,06,/sl/kulinarika/restavracija-raj,16,7,13,12,0.4375,0,0.6875
2026,06,/sl/prenocisca/dom-na-kofcah,16,13,15,12,0.8125,0,28.0625
2026,06,/sl/prenocisca/koca-na-kriski-gori,16,12,13,13,0.75,0,18.125
2026,06,/sl/znamenitosti/kulturne-znamenitosti/taborisce-ljubelj,16,12,14,13,0.75,0,51.25
2026,07,/de/unterkuenfte/camp-podljubelj,16,8,12,10,0.5,0,57.5625
2026,07,/de/wege/radtouren/k35-der-loiblpass,16,14,14,13,0.875,0,27.875
2026,07,/en/attractions/cultural-attractions/the-old-town-centre,16,12,15,14,0.75,0,22.125
2026,07,/it/sentieri/sentieri-alpini/via-ferrata-sullo-zelenica,16,12,11,11,0.75,0,20.4375
2026,07,/sl/poti/kolesarske-poti/k12-planina-dolga-njiva,16,10,12,11,0.625,0,10.25
2026,07,/sl/poti/pejmo-v-planine/trziska-planinska-pot,16,12,15,15,0.75,0,71.5625
2026,07,/sl/poti/sankaske-poti/cesta-na-prelaz-ljubelj,16,10,13,10,0.625,0,18.75
2026,05,/de/sehenswuerdigkeiten/naturliche-sehenswurdigkeiten/die-schlucht-dovzanova-soteska,15,13,11,9,0.8666666666666667,0,83.06666666666666
2026,05,/sl/kulinarika/gostisce-smuk,15,13,14,13,0.8666666666666667,0,8.2
2026,05,/sl/prireditve/sustarska-nedelja,15,13,12,11,0.8666666666666667,0,12.133333333333333
2026,06,/sl/poti/poti-po-naravi/orlova-pot-na-dolgi-njivi,15,9,8,7,0.6,0,22.066666666666666
2026,07,/de/kulinarik/sennerei-auf-der-alm-preval,15,13,12,9,0.8666666666666667,0,64.13333333333334
2026,07,/de/veranstaltungen/hrastov-memorial-internationales-bergstrassenrennen-der-oldtimer,15,9,12,11,0.6,0,26.8
2026,07,/sl/aktivnosti/krucefix-destilarna,15,10,14,14,0.6666666666666666,0,43.733333333333334
2026,05,/en/attractions/natural-attractions/the-dovzan-gorge,14,13,13,12,0.9285714285714286,0,30.785714285714285
2026,05,/sl/aktivnosti/gorenjska-plaza,14,12,14,14,0.8571428571428571,0,4.928571428571429
2026,05,/sl/info/kontakt,14,9,10,7,0.6428571428571429,0,62.07142857142857
2026,05,/sl/poti/pejmo-v-planine/kriska-gora,14,10,13,13,0.7142857142857143,0,11
2026,06,/de/kulinarik/sennerei-auf-der-alm-preval,14,12,14,14,0.8571428571428571,0,24
2026,06,/en/paths/cycling-routes/trans-karavanke-mtb-trail,14,9,12,11,0.6428571428571429,0,7.285714285714286
2026,06,/sl/kulinarika/gostilna-pri-bajdu,14,9,12,11,0.6428571428571429,0,5.5
2026,06,/sl/kulinarika/gostinska-ponudba,14,10,13,11,0.7142857142857143,0,42.92857142857143
2026,06,/sl/poti/kolesarske-poti/k21-dom-pod-storzicem,14,13,14,13,0.9285714285714286,0,57.92857142857143
2026,07,/sl/kulinarika/gostilna-pri-bajdu,14,11,14,12,0.7857142857142857,0,40.5
2026,07,/sl/kulinarika/moji-struklji-deteljica,14,11,14,13,0.7857142857142857,0,25.571428571428573
2026,07,/sl/poti,14,10,11,8,0.7142857142857143,0,22.714285714285715
2026,07,/sl/poti/kolesarske-poti/k22-planina-javornik,14,10,13,9,0.7142857142857143,0,40.142857142857146
2026,07,/sl/prenocisca/koca-na-kriski-gori,14,9,13,12,0.6428571428571429,0,35.642857142857146
2026,07,/sl/znamenitosti/kulturne-znamenitosti/zmaj-iz-petelinjega-jajca,14,8,9,8,0.5714285714285714,0,47.285714285714285
2026,05,/de/kulinarik/die-hutte-am-alten-loibl,13,13,13,12,1,0,43.76923076923077
2026,05,/sl/kulinarika/koca-na-planini-korosica,13,8,10,9,0.6153846153846154,0,10.076923076923077
2026,05,/sl/poti/kolesarske-poti/k35-prelaz-ljubelj,13,12,13,12,0.9230769230769231,0,28.076923076923077
2026,05,/sl/poti/poti-po-naravi/pot-treh-zvonov,13,10,11,10,0.7692307692307693,0,90.46153846153847
2026,06,/sl/aktivnosti/plezanje,13,8,11,11,0.6153846153846154,0,7.538461538461538
2026,06,/sl/poti/pejmo-v-planine,13,8,10,8,0.6153846153846154,0,71.3076923076923
2026,06,/sl/prenocisca/planinska-koca-na-dobrci,13,6,8,7,0.46153846153846156,0,5.3076923076923075
2026,07,/it/attrazioni/attrazioni-naturali/la-gola-di-dovzan,13,8,8,8,0.6153846153846154,0,7.769230769230769
2026,07,/sl/prenocisca/koca-na-kobilici-dobrca,13,8,10,9,0.6153846153846154,0,34.84615384615385
2026,07,/sl/znamenitosti/kulturne-znamenitosti/prelaz-ljubelj,13,10,12,12,0.7692307692307693,0,26.53846153846154
2026,07,/sl/znamenitosti/naravne-znamenitosti/stegovniski-slap,13,10,11,10,0.7692307692307693,0,11.461538461538462
2026,05,/sl/poti/kolesarske-poti/k12-planina-dolga-njiva,12,6,7,5,0.5,0,16.25
