tank,cas,meritev,globina_cm,vrednost,enota
Trzic-Tank1,2026-06-05T05:00:00,padavine,,2.4,mm
Trzic-Tank1,2026-06-05T06:00:00,padavine,,2.4,mm
Trzic-Tank1,2026-06-05T07:00:00,padavine,,2.2,mm
Trzic-Tank1,2026-06-05T08:00:00,padavine,,2.0,mm
Trzic-Tank1,2026-06-05T09:00:00,padavine,,2.0,mm
Trzic-Tank1,2026-06-05T10:00:00,padavine,,2.0,mm
Trzic-Tank1,2026-06-05T11:00:00,padavine,,1.8,mm
Trzic-Tank1,2026-06-05T12:00:00,padavine,,1.8,mm
Trzic-Tank1,2026-06-05T13:00:00,padavine,,1.6,mm
Trzic-Tank1,2026-06-05T14:00:00,padavine,,1.6,mm
Trzic-Tank1,2026-06-05T15:00:00,padavine,,1.8,mm
Trzic-Tank1,2026-06-05T16:00:00,padavine,,1.8,mm
Trzic-Tank1,2026-06-05T17:00:00,padavine,,2.0,mm
Trzic-Tank1,2026-06-05T18:00:00,padavine,,7.6,mm
Trzic-Tank1,2026-06-05T19:00:00,padavine,,10.8,mm
Trzic-Tank1,2026-06-05T20:00:00,padavine,,13.2,mm
Trzic-Tank1,2026-06-05T21:00:00,padavine,,13.6,mm
Trzic-Tank1,2026-06-05T22:00:00,padavine,,13.4,mm
Trzic-Tank1,2026-06-05T23:00:00,padavine,,13.0,mm
Trzic-Tank1,2026-06-06T00:00:00,padavine,,13.0,mm
Trzic-Tank1,2026-06-06T01:00:00,padavine,,11.6,mm
Trzic-Tank1,2026-06-06T02:00:00,padavine,,11.6,mm
Trzic-Tank1,2026-06-06T03:00:00,padavine,,11.6,mm
Trzic-Tank1,2026-06-06T04:00:00,padavine,,11.6,mm
Trzic-Tank1,2026-06-06T05:00:00,padavine,,8.6,mm
Trzic-Tank1,2026-06-06T06:00:00,padavine,,7.6,mm
Trzic-Tank1,2026-06-06T07:00:00,padavine,,7.0,mm
Trzic-Tank1,2026-06-06T08:00:00,padavine,,6.6,mm
Trzic-Tank1,2026-06-06T09:00:00,padavine,,6.2,mm
Trzic-Tank1,2026-06-06T10:00:00,padavine,,6.2,mm
